Ciudad;Habitaciones;Banhos;Superficie;Terraza;Ascensor;Parking;Tipo_vivienda;Calle;Precio;Barrio;Renta
Bilbao;1;1;70;N;S;N;Apartamento;"Calle de la Ronda; Ibaiondo";800;Ibaiondo;30491
Bilbao;3;1;80;N;S;N;Piso;"Santutxu Kalea; Begoña - Santutxu";850;Santutxu;18165
Bilbao;3;2;90;N;S;N;Piso;Indautxu;1200;Indautxu;40401
Bilbao;4;2;110;S;S;N;Piso;Deusto;1800;Deusto;28537
Bilbao;1;1;55;N;S;N;Apartamento;"Alameda de Mazarredo; Abando - Albia";975;Abando;40300
Bilbao;4;1;109;S;S;N;Piso;"Avenida Lehendakari Aguirre; Deusto";1800;Deusto;28537
Bilbao;1;1;50;N;S;N;Apartamento;"Calle de Elcano; Abando - Albia";800;Abando;40300
Bilbao;2;1;60;N;N;N;Piso;"Barrio Altamira; Basurtu - Zorrotza";700;Basurtu;29709
Bilbao;1;1;50;N;S;N;Apartamento;Abando - Albia;975;Abando;40300
Bilbao;2;2;126;N;S;N;Piso;Deusto;1400;Deusto;28537
Bilbao;1;1;55;S;S;N;Apartamento;"Calle General Concha; Indautxu";950;Indautxu;40401
Bilbao;2;1;63;N;S;N;Piso;"Iturribide Kalea; Ibaiondo";850;Ibaiondo;30491
Bilbao;2;1;60;N;S;N;Piso;"Calle Luis Luciano Bonaparte; Begoña - Santutxu";825;Santutxu;18165
Bilbao;1;1;50;N;S;N;Apartamento;Indautxu;950;Indautxu;40401
Bilbao;4;2;168;N;S;N;Piso;Abando - Albia;1400;Abando;40300
Bilbao;3;2;106;N;S;N;Piso;Ibaiondo;1050;Ibaiondo;30491
Bilbao;2;2;85;N;S;N;Piso;Indautxu;1200;Indautxu;40401
Bilbao;1;1;20;N;S;N;Estudio;"Avenida Gabriel Aresti; Otxarkoaga - Txurdinaga";750;Txurdinaga;26356
Bilbao;3;2;100;N;S;N;Piso;"Calle de Irala; Errekalde";1000;Errekalde;21172
Bilbao;2;2;74;N;S;S;Piso;"Plaza del Funicular; Uribarri";1250;Uribarri;18654
Bilbao;1;1;52;N;S;N;Piso;Indautxu;800;Indautxu;40401
Bilbao;3;2;91;N;S;N;Piso;"Calle Muelle Sirgueras; Basurtu - Zorrotza";1300;Basurtu;29709
Bilbao;2;1;72;N;S;N;Piso;Abando - Albia;950;Abando;40300
Bilbao;2;2;82;N;S;N;Piso;"Calle Manuel Allende; Indautxu";1000;Indautxu;40401
Bilbao;1;1;50;N;S;N;Apartamento;"Urkijo; Indautxu";800;Indautxu;40401
Bilbao;3;2;81;N;S;N;Piso;"Avenida Madariaga; Deusto";1100;Deusto;28537
Bilbao;2;2;83;N;N;N;Piso;"Cueva Santimamiñe; Ibaiondo";800;Ibaiondo;30491
Bilbao;3;1;77;N;S;N;Piso;"Calle MÂª Diaz de Haro; Indautxu";1000;Indautxu;40401
Bilbao;1;1;60;N;S;N;Apartamento;Abando - Albia;750;Abando;40300
Bilbao;2;1;70;N;S;N;�tico;"Errekalde-larraskitu Errepidea; Errekalde";750;Errekalde;21172
