Habitaciones,Banhos,Superficie,Barrio,Renta,Precio
2,2,70,3,29709,950
2,2,70,1,40401,1500
1,1,52,1,40401,800
2,1,70,3,29709,800
2,2,90,7,18654,1250
2,3,150,0,40300,2000
2,1,78,6,21172,700
2,1,60,8,18165,750
1,2,136,0,40300,1800
3,1,88,4,28537,830
2,3,103,1,40401,1400
2,1,60,8,18165,1400
2,1,55,3,29709,520
2,1,65,6,21172,750
3,2,120,3,29709,790
3,2,103,0,40300,1200
2,2,75,7,18654,900
3,1,75,4,28537,850
3,2,95,6,21172,950
1,1,45,0,40300,800
3,1,103,2,30491,950
3,2,130,0,40300,1800
3,1,60,5,26356,1200
3,2,80,2,30491,1000
2,1,68,8,18165,750
4,2,112,4,28537,1800
3,1,57,5,26356,800
2,2,70,7,18654,950
3,2,120,2,30491,1200
1,2,45,0,40300,1200
3,1,108,2,30491,950
3,1,95,8,18165,875
2,1,52,8,18165,720
2,1,52,8,18165,750
1,1,45,7,18654,750
2,2,90,7,18654,1250
2,1,50,4,28537,650
1,1,50,3,29709,800
2,2,80,2,30491,900
2,2,100,4,28537,1400
2,2,125,4,28537,1400
1,1,47,8,18165,750
2,1,75,4,28537,890
2,1,70,2,30491,850
2,1,65,6,21172,750
2,2,120,7,18654,1000
3,2,75,2,30491,1100
1,1,68,6,21172,860
2,1,70,2,30491,850
4,2,90,4,28537,1100
3,2,84,3,29709,1200
1,1,58,0,40300,1200
2,1,65,8,18165,750
3,2,100,2,30491,1050
1,1,50,3,29709,650
3,2,120,0,40300,1600
2,2,100,7,18654,1200
3,2,140,1,40401,1750
2,1,55,2,30491,850
3,2,80,2,30491,1000
4,2,150,0,40300,1600
3,2,107,2,30491,1300
4,2,105,7,18654,1200
2,1,58,0,40300,850
2,2,75,0,40300,1200
2,2,75,0,40300,1200
4,2,140,0,40300,1600
2,1,60,8,18165,750
2,1,65,3,29709,660
4,2,132,1,40401,1800
2,2,75,3,29709,950
3,2,110,8,18165,1000
2,2,86,0,40300,1700
1,1,55,0,40300,800
2,2,90,7,18654,1250
2,1,60,2,30491,850
2,2,110,4,28537,1400
2,2,80,3,29709,950
2,1,70,0,40300,750
1,2,69,0,40300,925
2,1,70,5,26356,750
2,2,65,6,21172,800
2,1,55,8,18165,780
2,1,80,3,29709,1100
2,2,128,3,29709,1400
1,1,50,1,40401,800
1,1,55,3,29709,800
2,1,75,2,30491,850
3,1,90,1,40401,1200
3,2,95,6,21172,1125
3,2,100,8,18165,900
3,2,85,7,18654,850
3,2,80,3,29709,1300
1,1,52,1,40401,900
2,2,115,3,29709,2000
3,2,90,4,28537,1000
2,1,60,8,18165,850
2,2,72,0,40300,800
1,1,60,0,40300,1100
1,1,60,0,40300,1000
4,2,85,0,40300,1300
3,2,95,8,18165,900
2,2,70,7,18654,850
3,1,75,2,30491,850
2,2,125,4,28537,1400
1,1,62,6,21172,790
1,1,50,6,21172,800
3,2,120,1,40401,1200
2,1,70,7,18654,1050
1,1,64,0,40300,1200
1,2,95,7,18654,1300
1,1,55,8,18165,750
4,1,115,1,40401,1100
2,1,60,2,30491,850
2,2,120,4,28537,1400
2,2,70,6,21172,1100
2,1,60,3,29709,700
2,1,60,2,30491,850
2,1,85,0,40300,1350
2,2,90,4,28537,1100
2,1,69,0,40300,800
2,1,60,1,40401,850
1,1,54,2,30491,850
1,1,65,1,40401,800
2,2,75,1,40401,1000
1,1,50,1,40401,890
1,1,50,1,40401,830
2,2,65,7,18654,1250
1,1,39,7,18654,745
3,2,90,1,40401,1200
2,2,75,0,40300,1300
4,2,148,1,40401,1500
2,2,64,1,40401,950
3,2,140,3,29709,1200
2,2,68,2,30491,1050
2,1,60,2,30491,850
3,2,100,4,28537,1150
2,2,67,1,40401,1000
3,2,90,4,28537,1300
3,2,130,4,28537,1200
2,1,61,3,29709,850
3,2,105,3,29709,1450
1,1,60,0,40300,1200
2,1,55,2,30491,850
2,1,70,1,40401,850
4,4,180,1,40401,1950
2,2,67,1,40401,1000
3,1,70,2,30491,900
3,3,105,4,28537,1205
2,1,67,2,30491,750
3,2,110,4,28537,1150
3,2,105,4,28537,1150
2,2,80,0,40300,1400
2,2,100,8,18165,1100
3,2,100,8,18165,1200
1,1,80,1,40401,850
2,2,70,4,28537,1000
4,2,100,2,30491,1200
1,1,50,0,40300,975
3,2,110,6,21172,1100
1,1,63,6,21172,860
2,2,75,1,40401,1900
2,1,60,6,21172,990
4,2,90,1,40401,1250
4,2,104,0,40300,1100
2,1,86,3,29709,990
1,1,50,0,40300,825
2,2,125,3,29709,1400
2,2,95,0,40300,2500
2,2,90,1,40401,1650
1,1,45,2,30491,750
2,1,73,2,30491,1300
2,1,70,0,40300,1200
1,1,74,2,30491,1190
1,1,50,2,30491,900
3,2,83,2,30491,1200
2,1,80,2,30491,1200
4,2,140,1,40401,1750
3,2,85,0,40300,900
3,2,110,1,40401,1300
4,2,101,3,29709,950
